tau	eff_sta	eff_tra	pow_sta	pow_tra	pow_ratio
1.6	0.9749812641	0.627048569	2137.84532	1356.173869	1.576379968
1.62	0.9754236882	0.6281216629	2112.445003	1341.7875	1.574351381
1.64	0.9758574722	0.6292049493	2087.645147	1327.774295	1.572289172
1.66	0.9762827647	0.6302983259	2063.424369	1314.120553	1.570194123
1.68	0.9766997078	0.6314016901	2039.762288	1300.813223	1.568067
1.7	0.9771084389	0.6325149383	2016.639475	1287.839865	1.565908564
1.72	0.9775090916	0.6336379674	1994.037393	1275.188621	1.563719563
1.74	0.9779017941	0.6347706719	1971.938351	1262.848171	1.561500738
1.76	0.9782866709	0.6359129485	1950.325452	1250.807716	1.559252815
1.78	0.9786638428	0.6370646907	1929.182552	1239.056935	1.556976518
1.8	0.9790334271	0.6382257928	1908.494216	1227.585966	1.554672559
1.82	0.9793955382	0.639396149	1888.245685	1216.385383	1.552341644
1.84	0.9797502865	0.6405756527	1868.422832	1205.446165	1.549984467
1.86	0.9800977803	0.6417641959	1849.012133	1194.75968	1.547601719
1.88	0.9804381275	0.6429616716	1830.000642	1184.317661	1.545194083
1.9	0.9807714242	0.6441679716	1811.375932	1174.112191	1.542762222
1.92	0.9810977781	0.6453829874	1793.126118	1164.135678	1.540306814
1.94	0.981417285	0.6466066106	1775.239783	1154.380848	1.537828513
1.96	0.9817300417	0.6478387316	1757.705977	1144.840717	1.535327973
1.98	0.9820361421	0.6490792411	1740.514188	1135.508586	1.532805836
2	0.9823356795	0.650328029	1723.654323	1126.378024	1.530262742
2.02	0.9826287443	0.651584985	1707.116685	1117.44285	1.527699322
2.04	0.9829154261	0.6528499985	1690.891953	1108.69713	1.5251162
2.06	0.9831958129	0.6541229591	1674.971169	1100.135156	1.522513993
2.08	0.9834699913	0.6554037552	1659.345715	1091.751441	1.519893313
2.1	0.9837380466	0.6566922755	1644.007298	1083.540705	1.517254765
2.12	0.9840000632	0.6579884085	1628.947939	1075.497869	1.514598946
2.14	0.9842561248	0.6592920419	1614.159955	1067.61804	1.511926451
2.16	0.9845063133	0.6606030634	1599.635944	1059.896509	1.509237865
2.18	0.9847507101	0.6619213606	1585.368776	1052.328737	1.506533768
2.2	0.9849893962	0.6632468211	1571.35158	1044.910351	1.503814732
2.22	0.9852224515	0.6645793319	1557.577728	1037.637136	1.501081326
2.24	0.9854499552	0.6659187799	1544.040831	1030.505026	1.498334111
2.26	0.9856719857	0.6672650514	1530.734724	1023.510096	1.495573644
2.28	0.9858886218	0.6686180334	1517.653457	1016.648564	1.492800473
2.3	0.98609994	0.6699776121	1504.791286	1009.916775	1.490015142
2.32	0.986306018	0.6713436739	1492.142666	1003.311201	1.487218188
2.34	0.9865069326	0.6727161046	1479.702239	996.8284344	1.484410143
2.36	0.9867027601	0.6740947901	1467.46483	990.4651827	1.481591534
2.38	0.9868935767	0.6754796165	1455.425436	984.2182641	1.478762881
2.4	0.9870794586	0.6768704695	1443.579222	978.0846028	1.475924698
2.42	0.9872604817	0.6782672345	1431.921512	972.0612236	1.473077495
2.44	0.9874367223	0.679669797	1420.447784	966.1452493	1.470221775
2.46	0.9876082558	0.681078043	1409.153661	960.3338967	1.467358036
2.48	0.987775158	0.6824918571	1398.034908	954.6244704	1.464486771
2.5	0.9879375056	0.683911125	1387.087429	949.0143631	1.461608467
2.52	0.9880953742	0.685335732	1376.307253	943.501049	1.458723607
2.54	0.9882488405	0.6867655633	1365.690538	938.0820824	1.455832666
2.56	0.9883979798	0.6882005042	1355.23356	932.7550934	1.452936113
2.58	0.9885428694	0.6896404398	1344.932712	927.5177857	1.450034417
2.6	0.9886835848	0.6910852555	1334.784496	922.3679338	1.447128036
2.62	0.9888202026	0.692534836	1324.785524	917.3033794	1.444217424
2.64	0.9889527997	0.6939890674	1314.932508	912.3220311	1.44130303
2.66	0.9890814523	0.6954478342	1305.22226	907.4218585	1.438385298
2.68	0.9892062368	0.696911022	1295.651688	902.6008931	1.435464664
2.7	0.98932723	0.6983785161	1286.21779	897.8572243	1.432541562
2.72	0.9894445082	0.6998502018	1276.917654	893.1889976	1.429616417
2.74	0.9895581481	0.7013259647	1267.748452	888.5944128	1.42668965
2.76	0.9896682262	0.7028056905	1258.707438	884.0717224	1.423761677
2.78	0.9897748192	0.7042892643	1249.791945	879.6192281	1.420832907
2.8	0.9898780035	0.7057765722	1240.999384	875.2352814	1.417903746
2.82	0.9899778557	0.7072674999	1232.327236	870.9182798	1.41497459
2.84	0.9900744517	0.7087619338	1223.773055	866.666667	1.412045832
2.86	0.9901678681	0.7102597596	1215.334463	862.4789294	1.40911786
2.88	0.9902581805	0.7117608633	1207.009148	858.3535956	1.406191055
2.9	0.9903454651	0.7132651314	1198.79486	854.2892352	1.403265792
2.92	0.9904297971	0.7147724508	1190.689413	850.2844577	1.400342441
2.94	0.9905112518	0.7162827077	1182.690678	846.3379095	1.397421367
2.96	0.9905899045	0.717795789	1174.796584	842.4482742	1.394502927
2.98	0.9906658289	0.719311582	1167.005114	838.6142714	1.391587472
3	0.9907390993	0.7208299737	1159.314305	834.8346543	1.388675349
3.2	0.9913416211	0.7361321648	1087.545281	799.7778912	1.359809133
3.4	0.9917539804	0.7515719587	1024.015515	769.0052504	1.331610563
3.6	0.9920328236	0.7670412127	967.4090829	741.6951273	1.304321745
3.8	0.9922207041	0.7824357603	916.6737063	717.2022887	1.278124346
4	0.9923475254	0.7976563322	870.9560632	695.0146354	1.253147803
4.2	0.9924336039	0.8126094531	829.5570206	674.7223026	1.229479176
4.4	0.9924925443	0.8272082952	791.8989658	655.9951576	1.207171969
4.6	0.9925334115	0.8413734586	757.5011312	638.5661133	1.186253256
4.8	0.9925622033	0.8550336601	725.9605543	622.2185456	1.166729214
5	0.9925828314	0.8681262984	696.9372322	606.7766436	1.148589419
5.2	0.9925978522	0.8805978862	670.14252	592.0978938	1.131810342
5.4	0.9926090278	0.8924043299	645.3299947	578.0671312	1.116358222
5.6	0.9926176533	0.903511052	622.2881273	564.5917628	1.102191297
5.8	0.9926246371	0.913892948	600.8343188	551.5978736	1.089261485
6	0.9926304893	0.9235341902	580.8100721	539.0270171	1.077515697
6.02	0.9926310202	0.924457238	578.8807926	537.7913424	1.076404075
6.04	0.9926315415	0.9253728011	576.9642839	536.5593934	1.075303668
6.06	0.9926320531	0.9262808784	575.0604195	535.3311319	1.074214417
6.08	0.9926325552	0.9271814694	573.1690748	534.1065204	1.073136262
6.1	0.9926330472	0.9280745745	571.2901262	532.8855228	1.072069144
6.12	0.992633529	0.9289601949	569.4234522	531.6681036	1.071013003
6.14	0.9926340013	0.9298383326	567.5689333	530.4542283	1.06996778
6.16	0.9926344628	0.9307089904	565.7264502	529.2438634	1.068933415
6.18	0.9926349143	0.9315721724	563.8958866	528.0369767	1.067909846
6.2	0.9926353551	0.9324278825	562.0771268	526.8335361	1.066897014
6.22	0.9926357854	0.9332761262	560.2700569	525.633511	1.065894859
6.24	0.992636205	0.9341169095	558.4745645	524.4368714	1.064903318
6.26	0.9926366136	0.934950239	556.6905384	523.2435881	1.063922332
6.28	0.9926370112	0.9357761228	554.9178691	522.053633	1.062951839
6.3	0.9926373975	0.9365945686	553.1564483	520.8669783	1.061991778
6.32	0.9926377727	0.9374055863	551.4061692	519.6835978	1.061042087
6.34	0.9926381364	0.938209185	549.6669262	518.5034652	1.060102705
6.36	0.9926384883	0.939005376	547.938615	517.3265555	1.059173571
6.38	0.9926388282	0.9397941702	546.2211327	516.1528443	1.058254621
6.4	0.9926391567	0.9405755796	544.5143781	514.9823076	1.057345796
6.42	0.9926394732	0.9413496178	542.8182506	513.8149231	1.056447032
6.44	0.9926397774	0.9421162975	541.1326511	512.6506678	1.055558268
6.46	0.9926400696	0.9428756331	539.4574818	511.4895205	1.054679442
6.48	0.9926403496	0.9436276395	537.7926462	510.3314599	1.053810491
6.5	0.9926406172	0.9443723327	536.1380488	509.1764661	1.052951353
6.52	0.9926408726	0.9451097289	534.4935953	508.0245194	1.052101966
6.54	0.9926411157	0.9458398452	532.8591928	506.8756007	1.051262267
6.56	0.9926413468	0.9465626988	531.2347494	505.7296913	1.050432194
6.58	0.9926415653	0.9472783085	529.620174	504.5867739	1.049611685
6.6	0.9926417717	0.9479866933	528.0153773	503.4468309	1.048800677
6.62	0.9926419657	0.9486878728	526.4202703	502.3098459	1.047999108
6.64	0.992642148	0.949381867	524.8347659	501.1758024	1.047206915
6.66	0.9926423181	0.9500686971	523.2587773	500.0446852	1.046424035
6.68	0.992642476	0.9507483848	521.6922192	498.9164791	1.045650406
6.7	0.9926426223	0.9514209515	520.1350072	497.7911694	1.044885967
6.72	0.9926427572	0.9520864211	518.5870582	496.6687426	1.044130652
6.74	0.9926428805	0.952744816	517.0482894	495.5491847	1.043384401
6.76	0.9926429922	0.9533961608	515.5186196	494.4324829	1.042647151
6.78	0.9926430932	0.9540404794	513.9979686	493.3186244	1.041918839
6.8	0.9926431831	0.954677798	512.4862566	492.2075976	1.041199403
6.82	0.9926432627	0.9553081409	510.9834054	491.0993902	1.04048878
6.84	0.9926433314	0.9559315356	509.489337	489.9939917	1.039786907
6.86	0.9926433904	0.956548008	508.0039752	488.8913906	1.039093723
6.88	0.9926434396	0.9571575861	506.5272441	487.7915772	1.038409164
6.9	0.9926434792	0.9577602972	505.0590686	486.694541	1.03773317
6.92	0.9926435095	0.9583561697	503.5993747	485.6002725	1.037065676
6.94	0.9926435311	0.9589452332	502.1480895	484.5087629	1.03640662
6.96	0.9926435439	0.9595275163	500.7051404	483.420003	1.035755942
6.98	0.992643549	0.9601030496	499.2704564	482.3339847	1.035113577
7	0.992643546	0.960671863	497.8439663	481.2506997	1.034479465
7.02	0.9926435357	0.9612339876	496.4256005	480.1701402	1.033853543
7.04	0.9926435177	0.9617894546	495.0152897	479.092299	1.033235748
7.06	0.9926434937	0.9623382958	493.6129663	478.0171688	1.03262602
7.08	0.9926434632	0.9628805437	492.2185622	476.944743	1.032024295
7.1	0.9926434268	0.9634162312	490.8320109	475.8750153	1.031430512
7.12	0.9926433852	0.9639453907	489.4532466	474.8079792	1.030844611
7.14	0.9926433382	0.9644680566	488.0822037	473.7436292	1.030266527
7.16	0.9926432867	0.9649842622	486.718818	472.6819594	1.029696201
7.18	0.9926432308	0.9654940424	485.3630255	471.6229647	1.02913357
7.2	0.9926431712	0.9659974323	484.0147633	470.5666403	1.028578573
7.22	0.9926431082	0.9664944664	482.6739691	469.5129811	1.028031148
7.24	0.992643042	0.9669851804	481.340581	468.4619826	1.027491235
7.26	0.9926429736	0.9674696107	480.0145383	467.4136407	1.026958772
7.28	0.9926429029	0.9679477932	478.6957804	466.3679512	1.026433697
7.3	0.9926428305	0.9684197651	477.3842478	465.3249104	1.02591595
7.32	0.9926427567	0.9688855627	476.0798813	464.2845146	1.025405471
7.34	0.9926426818	0.9693452243	474.7826226	463.2467607	1.024902197
7.36	0.9926426066	0.9697987869	473.4924141	462.2116452	1.024406068
7.38	0.9926425314	0.9702462892	472.2091986	461.1791656	1.023917024
7.4	0.9926424559	0.9706877692	470.9329193	460.1493186	1.023435003
7.42	0.9926423814	0.9711232654	469.6635208	459.1221019	1.022959946
7.44	0.9926423079	0.9715528169	468.4009474	458.0975129	1.022491793
7.46	0.9926422354	0.971976463	467.1451445	457.0755495	1.022030483
7.48	0.9926421648	0.9723942433	465.896058	456.0562096	1.021575955
7.5	0.9926420961	0.9728061979	464.6536343	455.0394915	1.021128151
7.52	0.9926420297	0.9732123664	463.4178204	454.0253931	1.020687009
7.54	0.992641966	0.9736127894	462.1885639	453.0139129	1.020252471
7.56	0.9926419052	0.9740075074	460.9658128	452.0050495	1.019824476
7.58	0.9926418476	0.9743965614	459.7495158	450.9988016	1.019402965
7.6	0.9926417937	0.9747799921	458.5396221	449.9951678	1.01898788
7.62	0.9926417432	0.9751578412	457.3360813	448.9941471	1.01857916
7.64	0.9926416971	0.9755301501	456.1388439	447.9957387	1.018176747
7.66	0.992641655	0.9758969603	454.9478603	446.9999415	1.017780581
7.68	0.9926416173	0.976258314	453.7630818	446.0067549	1.017390604
7.7	0.9926415842	0.9766142529	452.5844603	445.0161782	1.017006757
7.72	0.992641556	0.97696482	451.411948	444.028211	1.016628982
7.74	0.9926415328	0.977310057	450.2454976	443.0428525	1.01625722
7.76	0.9926415147	0.977650007	449.0850622	442.0601028	1.015891413
