x	wf1	wf2	wf3
-26.86523	9.145748e-15	8.062287e-15	7.743489e-15
-26.83594	1.665353e-14	1.556447e-14	1.754629e-14
-26.80664	3.097447e-14	3.127354e-14	3.789474e-14
-26.77734	5.883535e-14	6.304724e-14	7.634251e-14
-26.74805	1.12858e-13	1.239433e-13	1.42385e-13
-26.71875	2.154048e-13	2.343097e-13	2.488075e-13
-26.68945	4.043395e-13	4.252135e-13	4.1344e-13
-26.66016	7.42352e-13	7.461644e-13	6.726798e-13
-26.63086	1.334018e-12	1.284125e-12	1.109384e-12
-26.60156	2.359946e-12	2.207323e-12	1.921452e-12
-26.57227	4.146454e-12	3.856401e-12	3.538251e-12
-26.54297	7.302929e-12	6.915403e-12	6.823288e-12
-26.51367	1.297755e-11	1.270404e-11	1.335601e-11
-26.48438	2.330402e-11	2.363771e-11	2.582546e-11
-26.45508	4.213696e-11	4.390501e-11	4.849161e-11
-26.42578	7.620563e-11	8.04263e-11	8.778991e-11
-26.39648	1.368718e-10	1.442172e-10	1.531399e-10
-26.36719	2.42804e-10	2.524602e-10	2.585047e-10
-26.33789	4.24172e-10	4.320133e-10	4.256306e-10
-26.30859	7.295822e-10	7.25942e-10	6.913708e-10
-26.2793	1.238178e-09	1.206194e-09	1.12285e-09
-26.25	2.081448e-09	1.998012e-09	1.847418e-09
-26.2207	3.482731e-09	3.325313e-09	3.106937e-09
-26.19141	5.827586e-09	5.591193e-09	5.350833e-09
-26.16211	9.785408e-09	9.513783e-09	9.385087e-09
-26.13281	1.651214e-08	1.634468e-08	1.659948e-08
-26.10352	2.797563e-08	2.820481e-08	2.929624e-08
-26.07422	4.745948e-08	4.858101e-08	5.114903e-08
-26.04492	8.03192e-08	8.303808e-08	8.782458e-08
-26.01562	1.350897e-07	1.402209e-07	1.478228e-07
-25.98633	2.250844e-07	2.332612e-07	2.436315e-07
-25.95703	3.707004e-07	3.817857e-07	3.934018e-07
-25.92773	6.027799e-07	6.148842e-07	6.235362e-07
-25.89844	9.676297e-07	9.756904e-07	9.729515e-07
-25.86914	1.53473e-06	1.528737e-06	1.500349e-06
-25.83984	2.40889e-06	2.37207e-06	2.296778e-06
-25.81055	3.749744e-06	3.657375e-06	3.507121e-06
-25.78125	5.803192e-06	5.623208e-06	5.366124e-06
-25.75195	8.951855e-06	8.649006e-06	8.257157e-06
-25.72266	1.379498e-05	1.334096e-05	1.280534e-05
-25.69336	2.127261e-05	2.066513e-05	2.002076e-05
-25.66406	3.285439e-05	3.214846e-05	3.151231e-05
-25.63477	5.081966e-05	5.017422e-05	4.979809e-05
-25.60547	7.866307e-05	7.840475e-05	7.874372e-05
-25.57617	0.000121667	0.0001223709	0.0001241649
-25.54688	0.0001876894	0.0001902726	0.000194635
-25.51758	0.0002882219	0.00029404	0.0003025404
-25.48828	0.0004397752	0.0004507043	0.0004654262
-25.45898	0.0006656493	0.0006841275	0.0007076722
-25.42969	0.0009981414	0.001027131	0.00106253
-25.40039	0.001481232	0.001524053	0.001574539
-25.37109	0.002173774	0.002233751	0.002302334
-25.3418	0.003153187	0.003233031	0.003321808
-25.3125	0.004519619	0.004620479	0.004729615
-25.2832	0.006400534	0.006520618	0.006646922
-25.25391	0.0089556	0.009088305	0.009223342
-25.22461	0.01238177	0.01251324	0.01264092
-25.19531	0.01691837	0.01702443	0.01711803
-25.16602	0.02285206	0.02289449	0.0229131
-25.13672	0.03052135	0.03044352	0.03032792
-25.10742	0.04032068	0.04004253	0.03971051
-25.07812	0.05270365	0.05211608	0.05145733
-25.04883	0.06818542	0.06714426	0.0660148
-25.01953	0.0873441	0.0856637	0.08388005
-24.99023	0.1108211	0.1082677	0.1056009
-24.96094	0.1393204	0.1356054	0.1317752
-24.93164	0.173607	0.1683804	0.163049
-24.90234	0.2145041	0.2073483	0.200115
-24.87305	0.2628902	0.2533138	0.2437098
-24.84375	0.3196951	0.3071281	0.2946111
-24.81445	0.385896	0.3696847	0.3536353
-24.78516	0.4625137	0.4419168	0.4216342
-24.75586	0.5506086	0.5247942	0.4994933
-24.72656	0.6512775	0.6193206	0.5881292
-24.69727	0.7656508	0.7265319	0.688489
-24.66797	0.8948903	0.8474948	0.8015492
-24.63867	1.040188	0.9833067	0.9283161
-24.60938	1.202766	1.135096	1.069827
-24.58008	1.383875	1.304024	1.227152
-24.55078	1.584797	1.491285	1.401398
-24.52148	1.806846	1.698112	1.593711
-24.49219	2.051365	1.925776	1.805278
-24.46289	2.319733	2.175591	2.037339
-24.43359	2.613356	2.448918	2.291184
-24.4043	2.933669	2.74716	2.56816
-24.375	3.28213	3.071768	2.869677
-24.3457	3.660202	3.424233	3.197204
-24.31641	4.069346	3.806077	3.552275
-24.28711	4.510989	4.218845	3.936477
-24.25781	4.98649	4.664072	4.351443
-24.22852	5.4971	5.14326	4.79883
-24.19922	6.043892	5.657828	5.280291
-24.16992	6.62769	6.209049	5.797429
-24.14062	7.248978	6.797971	6.351736
-24.11133	7.907786	7.425319	6.944511
-24.08203	8.603573	8.091374	7.57675
-24.05273	9.335098	8.795831	8.249024
-24.02344	10.1003	9.537656	8.961312
-23.99414	10.89619	10.31493	9.712837
-23.96484	11.71879	11.12472	10.50188
-23.93555	12.56315	11.96297	11.3256
-23.90625	13.42337	12.82447	12.17992
-23.87695	14.29287	13.70296	13.05941
-23.84766	15.16459	14.59122	13.95739
-23.81836	16.03145	15.48146	14.86602
-23.78906	16.88675	16.36573	15.77667
-23.75977	17.7247	17.23643	16.68038
-23.73047	18.54082	18.08691	17.56851
-23.70117	19.33233	18.91202	18.43337
-23.67188	20.09828	19.70853	19.26895
-23.64258	20.83958	20.47538	20.07143
-23.61328	21.55875	21.21371	20.83954
-23.58398	22.2596	21.92662	21.57462
-23.55469	22.94665	22.61869	22.28035
-23.52539	23.62471	23.29547	22.96227
-23.49609	24.29826	23.96275	23.62704
-23.4668	24.97116	24.62601	24.28167
-23.4375	25.64631	25.28985	24.93277
-23.4082	26.32554	25.95775	25.58595
-23.37891	27.0097	26.63183	26.24533
-23.34961	27.69872	27.31296	26.91345
-23.32031	28.3919	28.00089	27.59121
-23.29102	29.08813	28.69455	28.27816
-23.26172	29.78616	29.3924	28.9728
-23.23242	30.48481	30.09269	29.67301
-23.20312	31.1831	30.79383	30.37648
-23.17383	31.88036	31.4945	31.08104
-23.14453	32.57621	32.19378	31.78492
-23.11523	33.27053	32.89119	32.48692
-23.08594	33.96339	33.58661	33.18638
-23.05664	34.65495	34.28018	33.8832
-23.02734	35.34543	34.97219	34.5776
-22.99805	36.03498	35.66296	35.27004
-22.96875	36.72371	36.35278	35.96103
-22.93945	37.41168	37.04184	36.65102
-22.91016	38.09887	37.73021	37.34032
-22.88086	38.78524	38.4179	38.02907
-22.85156	39.47073	39.10484	38.71729
-22.82227	40.15531	39.79095	39.40488
-22.79297	40.83895	40.47615	40.09172
-22.76367	41.52164	41.16041	40.77768
-22.73438	42.20339	41.84368	41.46267
-22.70508	42.88422	42.526	42.14666
-22.67578	43.56415	43.20737	42.82963
-22.64648	44.24318	43.88783	43.51163
-22.61719	44.92133	44.56741	44.19271
-22.58789	45.5986	45.24611	44.87289
-22.55859	46.27497	45.92393	45.55221
-22.5293	46.95046	46.60088	46.23067
-22.5	47.62505	47.27694	46.90827
-22.4707	48.29874	47.95211	47.585
-22.44141	48.97154	48.62638	48.26084
-22.41211	49.64344	49.29976	48.93578
-22.38281	50.31446	49.97223	49.60981
-22.35352	50.98458	50.64381	50.28295
-22.32422	51.65381	51.31451	50.95518
-22.29492	52.32215	51.98431	51.62653
-22.26562	52.9896	52.65322	52.29698
-22.23633	53.65616	53.32125	52.96655
-22.20703	54.32183	53.98838	53.63523
-22.17773	54.98661	54.65463	54.30302
-22.14844	55.65051	55.31998	54.96992
-22.11914	56.31352	55.98445	55.63593
-22.08984	56.97564	56.64802	56.30105
-22.06055	57.63687	57.31071	56.96528
-22.03125	58.29721	57.97251	57.62862
-22.00195	58.95667	58.63343	58.29107
-21.97266	59.61525	59.29345	58.95263
-21.94336	60.27293	59.95259	59.61331
-21.91406	60.92973	60.61084	60.27309
-21.88477	61.58565	61.26821	60.93199
-21.85547	62.24068	61.92469	61.59
-21.82617	62.89483	62.58028	62.24712
-21.79688	63.54809	63.23499	62.90336
-21.76758	64.20047	63.88881	63.5587
-21.73828	64.85196	64.54174	64.21316
-21.70898	65.50257	65.19379	64.86674
-21.67969	66.1523	65.84496	65.51942
-21.65039	66.80114	66.49524	66.17122
-21.62109	67.4491	67.14463	66.82214
