Tf	wirrc_sta	wirrc_tra	fidc_sta	fidc_tra	wirre_sta	wirre_tra	fide_sta	fide_tra
0.01	5007592.5808	803.81921	0.0017008897912	0.99027432546	8384679.5914	672.2416144	0.00060294851818	0.9906331184
0.02	5360996.371	803.781498	0.011921667652	0.99020506845	4932776.3595	672.1992848	0.096234061143	0.9905462067
0.03	2619591.019	803.718643	0.048216711567	0.99008938785	2777725.406	672.1287472	0.33431239691	0.99040105537
0.04	505708.46184	803.630648	0.57521642266	0.98992736925	1278896.8126	672.0300136	0.64918030567	0.99019781109
0.05	1508.153324	803.517519	0.9774610624	0.98971913246	453246.40868	671.9030984	0.84441689606	0.98993667914
0.06	1069.123347	803.379265	0.98349272625	0.98946483141	7772.7760538	671.7480216	0.97465227073	0.989617923
0.07	821.900048	803.215896	0.98718858891	0.98916465404	1604.8331314	671.5648088	0.98213219855	0.989241864
0.08	660.839383	803.027424	0.98961456639	0.98881882208	1176.5303234	671.353488	0.98646508572	0.98880888081
0.09	549.756363	802.813862	0.99129726572	0.98843580607	895.6169866	671.114092	0.98942379723	0.98832999082
0.1	469.869198	802.575226	0.99250304306	0.98799124909	702.6266162	670.8466584	0.99154511488	0.98777393954
0.11	410.170577	802.311533	0.99340577816	0.98751011853	565.1571402	670.5512296	0.99309328394	0.98717301972
0.12	364.256732	802.022802	0.99409837797	0.98698455376	464.4544234	670.2278504	0.99425606501	0.98651725062
0.13	328.043951	801.709054	0.99464262163	0.98641494182	388.9197626	669.8765728	0.99514682377	0.98580728704
0.14	298.856194	801.370311	0.99507921677	0.98580170181	331.1173274	669.4974504	0.99584040585	0.98504383632
0.15	274.870169	801.006598	0.99543701136	0.98515877845	286.1092202	669.0905416	0.99638564504	0.98424494251
0.16	254.857879	800.61794	0.99573189452	0.98444617217	250.5491146	668.6559096	0.99682475057	0.983359559
0.17	237.885488	800.204367	0.99598119172	0.98370487754	222.0623802	668.1936224	0.99717682228	0.98244039977
0.18	223.302701	799.765907	0.99619466114	0.98293796854	198.9692522	667.7037496	0.99746148228	0.98149153481
0.19	210.640301	799.302591	0.99637746737	0.98209794441	180.0515666	667.1863672	0.99769653783	0.98045256903
0.2	199.513552	798.814454	0.99653767711	0.98123348137	164.3926106	666.6415536	0.99788872671	0.97938584759
0.21	189.64698	798.301529	0.99667887162	0.9803291859	151.3121986	666.0693928	0.9980474613	0.97827196243
0.22	180.822206	797.763853	0.99680444815	0.97938571724	140.2900666	665.4699712	0.99817907341	0.97711199676
0.23	172.8676	797.201465	0.99691707827	0.97840376215	130.9251378	664.84338	0.99828855113	0.97590707429
0.24	165.646748	796.614405	0.99701888529	0.97738403426	122.9048786	664.1897136	0.99837986534	0.97465835758
0.25	159.050086	796.002713	0.99711157331	0.97632727343	115.9833794	663.5090704	0.99845620703	0.97336704643
0.26	152.98877	795.366434	0.99719652217	0.97523424501	109.9654394	662.801552	0.99852016224	0.97203437614
0.27	147.390104	794.705612	0.99727485829	0.9741057392	104.6948698	662.0672648	0.99857384261	0.97066161577
0.28	142.194106	794.020294	0.99734750827	0.97294257029	100.0457834	661.3063184	0.99861898409	0.96925006643
0.29	137.349801	793.310529	0.99741556131	0.97176999927	95.9156002	660.5188256	0.99865684328	0.9678316234
0.3	132.817711	792.576366	0.99747899296	0.97054072078	92.2218954	659.7049024	0.99868901015	0.96634730194
0.31	128.562224	791.817857	0.99753840195	0.96925357312	88.8961258	658.8646688	0.99871636556	0.9647961377
0.32	124.551586	791.035056	0.99759482236	0.96796034967	85.8811042	657.9982488	0.99873950288	0.96324302025
0.33	120.761204	790.228016	0.99764833685	0.96663686894	83.1304938	657.1057688	0.99875926523	0.96165803591
0.34	117.169108	789.396795	0.99769927234	0.96528407336	80.6054114	656.1873584	0.99877624523	0.96004263944
0.35	113.755751	788.541451	0.99774812676	0.9639311952	78.2731418	655.2431512	0.99879093304	0.95843318565
0.36	110.505846	787.662043	0.99779469124	0.96252325346	76.1070258	654.273284	0.9988037902	0.95676203097
0.37	107.404853	786.758633	0.9978392139	0.96105949418	74.084161	653.2778952	0.99881512634	0.95502880048
0.38	104.439185	785.831284	0.99788227032	0.95959922047	72.1848514	652.2571296	0.99882527358	0.95330665724
0.39	101.598261	784.88006	0.99792381251	0.95811460413	70.3930826	651.2111304	0.99883448372	0.95156162479
0.4	98.87227	783.905027	0.99796397712	0.95660668549	68.6951034	650.1400488	0.99884297465	0.94979524442
0.41	96.252506	782.906253	0.9980028838	0.95507651806	67.0792554	649.0440344	0.99885093049	0.94800906535
0.42	93.731216	781.883807	0.9980406376	0.95352516767	65.5356346	647.9232432	0.99885850631	0.94620464295
0.43	91.301467	780.837759	0.99807733112	0.95195371156	64.0558154	646.777832	0.99886583235	0.94438353689
0.44	88.957046	779.768183	0.99811304619	0.95036323747	62.632621	645.6079608	0.9988730175	0.94254730944
0.45	86.692363	778.675152	0.99814785528	0.94875484268	61.259929	644.4137928	0.99888015228	0.94069752369
0.46	84.502376	777.558741	0.99818182276	0.94712963321	59.9325098	643.1954928	0.99888731142	0.93883574185
0.47	82.382324	776.419027	0.99821510501	0.94552278457	58.6457882	641.9532296	0.99889463373	0.93700409165
0.48	80.328667	775.256089	0.99824745604	0.94383323202	57.3962562	640.6871736	0.99890193551	0.9350824244
0.49	78.337046	774.070006	0.99827921882	0.94216428748	56.1803178	639.3974976	0.99890948913	0.93319399396
0.5	76.40423	772.860861	0.99831033534	0.94048302077	54.9952682	638.0843776	0.99891724755	0.93129977462
